unix_ts,elapsed_s,cpu_cores
1782339476.366,0.0,2.0
1782339491.366,15.0,2.0
1782339506.366,30.0,4.0
1782339521.366,45.0,4.0
1782339536.366,60.0,4.0
1782339551.366,75.0,4.0
1782339566.366,90.0,4.0
1782339581.366,105.0,4.0
1782339596.366,120.0,4.0
1782339611.366,135.0,4.0
1782339626.366,150.0,4.0
1782339641.366,165.0,4.0
1782339656.366,180.0,4.0
1782339671.366,195.0,3.0
1782339686.366,210.0,3.0
1782339701.366,225.0,3.0
1782339716.366,240.0,3.0
1782339731.366,255.0,3.0
1782339746.366,270.0,3.0
1782339761.366,285.0,3.0
1782339776.366,300.0,3.0
1782339791.366,315.0,3.0
1782339806.366,330.0,3.0
1782339821.366,345.0,4.0
1782339836.366,360.0,4.0
1782339851.366,375.0,4.0
1782339866.366,390.0,4.0
1782339881.366,405.0,4.0
1782339896.366,420.0,4.0
1782339911.366,435.0,4.0
1782339926.366,450.0,4.0
1782339941.366,465.0,4.0
1782339956.366,480.0,4.0
1782339971.366,495.0,4.0
1782339986.366,510.0,3.0
1782340001.366,525.0,3.0
1782340016.366,540.0,3.0
1782340031.366,555.0,3.0
1782340046.366,570.0,3.0
1782340061.366,585.0,5.0
1782340076.366,600.0,6.0
1782340091.366,615.0,6.0
1782340106.366,630.0,6.0
1782340121.366,645.0,6.0
1782340136.366,660.0,6.0
