unix_ts,elapsed_s,dropped_per_s
1782339476.431,0.0,0.0
1782339491.431,15.0,0.0
1782339506.431,30.0,0.0
1782339521.431,45.0,0.0
1782339536.431,60.0,0.0
1782339551.431,75.0,0.0
1782339566.431,90.0,0.0
1782339581.431,105.0,0.0
1782339596.431,120.0,0.0
1782339611.431,135.0,0.0
1782339626.431,150.0,0.0
1782339641.431,165.0,0.0
1782339656.431,180.0,0.0
1782339671.431,195.0,0.0
1782339686.431,210.0,0.0
1782339701.431,225.0,0.0
1782339716.431,240.0,0.0
1782339731.431,255.0,0.0
1782339746.431,270.0,0.0
1782339761.431,285.0,0.0
1782339776.431,300.0,1.533537805040672
1782339791.431,315.0,1.1333333333333333
1782339806.431,330.0,1.533435562370825
1782339821.431,345.0,5.466666666666667
1782339836.431,360.0,0.0
1782339851.431,375.0,0.0
1782339866.431,390.0,0.0
1782339881.431,405.0,0.0
1782339896.431,420.0,0.0
1782339911.431,435.0,0.0
1782339926.431,450.0,0.0
1782339941.431,465.0,0.0
1782339956.431,480.0,0.0
1782339971.431,495.0,0.0
1782339986.431,510.0,0.0
1782340001.431,525.0,0.0
1782340016.431,540.0,0.0
1782340031.431,555.0,0.0
1782340046.431,570.0,0.0
1782340061.431,585.0,0.0
1782340076.431,600.0,0.0
1782340091.431,615.0,0.0
1782340106.431,630.0,0.0
1782340121.431,645.0,0.0
1782340136.431,660.0,0.0
