unix_ts,elapsed_s,queue_depth
1782339476.411,0.0,0.0
1782339491.411,15.0,1.0
1782339506.411,30.0,0.0
1782339521.411,45.0,1.0
1782339536.411,60.0,0.0
1782339551.411,75.0,0.0
1782339566.411,90.0,0.0
1782339581.411,105.0,1.0
1782339596.411,120.0,1.0
1782339611.411,135.0,0.0
1782339626.411,150.0,0.0
1782339641.411,165.0,1.0
1782339656.411,180.0,1.0
1782339671.411,195.0,0.0
1782339686.411,210.0,0.0
1782339701.411,225.0,0.0
1782339716.411,240.0,1.0
1782339731.411,255.0,0.0
1782339746.411,270.0,2.0
1782339761.411,285.0,2.0
1782339776.411,300.0,47.0
1782339791.411,315.0,49.0
1782339806.411,330.0,47.0
1782339821.411,345.0,38.0
1782339836.411,360.0,3.0
1782339851.411,375.0,3.0
1782339866.411,390.0,2.0
1782339881.411,405.0,2.0
1782339896.411,420.0,2.0
1782339911.411,435.0,1.0
1782339926.411,450.0,1.0
1782339941.411,465.0,1.0
1782339956.411,480.0,1.0
1782339971.411,495.0,1.0
1782339986.411,510.0,1.0
1782340001.411,525.0,0.0
1782340016.411,540.0,1.0
1782340031.411,555.0,0.0
1782340046.411,570.0,0.0
1782340061.411,585.0,1.0
1782340076.411,600.0,1.0
1782340091.411,615.0,0.0
1782340106.411,630.0,1.0
1782340121.411,645.0,0.0
1782340136.411,660.0,0.0
