unix_ts,elapsed_s,cpu_cores
1782341181.309,0.0,2.0
1782341196.309,15.0,2.0
1782341211.309,30.0,2.0
1782341226.309,45.0,2.0
1782341241.309,60.0,2.0
1782341256.309,75.0,2.0
1782341271.309,90.0,2.0
1782341286.309,105.0,2.0
1782341301.309,120.0,2.0
1782341316.309,135.0,2.0
1782341331.309,150.0,2.0
1782341346.309,165.0,2.0
1782341361.309,180.0,2.0
1782341376.309,195.0,2.0
1782341391.309,210.0,2.0
1782341406.309,225.0,2.0
1782341421.309,240.0,2.0
1782341436.309,255.0,2.0
1782341451.309,270.0,2.0
1782341466.309,285.0,2.0
1782341481.309,300.0,2.0
1782341496.309,315.0,2.0
1782341511.309,330.0,2.0
1782341526.309,345.0,2.0
1782341541.309,360.0,2.0
1782341556.309,375.0,2.0
1782341571.309,390.0,2.0
1782341586.309,405.0,2.0
1782341601.309,420.0,2.0
1782341616.309,435.0,2.0
1782341631.309,450.0,2.0
1782341646.309,465.0,2.0
1782341661.309,480.0,2.0
1782341676.309,495.0,2.0
1782341691.309,510.0,2.0
1782341706.309,525.0,2.0
1782341721.309,540.0,2.0
1782341736.309,555.0,2.0
1782341751.309,570.0,2.0
1782341766.309,585.0,2.0
1782341781.309,600.0,2.0
1782341796.309,615.0,2.0
1782341811.309,630.0,2.0
1782341826.309,645.0,2.0
1782341841.309,660.0,2.0
