unix_ts,elapsed_s,queue_depth
1782341181.345,0.0,0.0
1782341196.345,15.0,1.0
1782341211.345,30.0,1.0
1782341226.345,45.0,0.0
1782341241.345,60.0,1.0
1782341256.345,75.0,0.0
1782341271.345,90.0,0.0
1782341286.345,105.0,1.0
1782341301.345,120.0,0.0
1782341316.345,135.0,0.0
1782341331.345,150.0,0.0
1782341346.345,165.0,0.0
1782341361.345,180.0,0.0
1782341376.345,195.0,1.0
1782341391.345,210.0,0.0
1782341406.345,225.0,0.0
1782341421.345,240.0,0.0
1782341436.345,255.0,1.0
1782341451.345,270.0,2.0
1782341466.345,285.0,48.0
1782341481.345,300.0,49.0
1782341496.345,315.0,49.0
1782341511.345,330.0,48.0
1782341526.345,345.0,49.0
1782341541.345,360.0,50.0
1782341556.345,375.0,49.0
1782341571.345,390.0,48.0
1782341586.345,405.0,48.0
1782341601.345,420.0,50.0
1782341616.345,435.0,35.0
1782341631.345,450.0,1.0
1782341646.345,465.0,2.0
1782341661.345,480.0,1.0
1782341676.345,495.0,1.0
1782341691.345,510.0,0.0
1782341706.345,525.0,1.0
1782341721.345,540.0,1.0
1782341736.345,555.0,0.0
1782341751.345,570.0,0.0
1782341766.345,585.0,1.0
1782341781.345,600.0,1.0
1782341796.345,615.0,1.0
1782341811.345,630.0,0.0
1782341826.345,645.0,0.0
1782341841.345,660.0,0.0
