unix_ts,elapsed_s,req_per_s
1782341181.328,0.0,3.8671822909721296
1782341196.328,15.0,7.066195586960869
1782341211.328,30.0,6.533768917927862
1782341226.328,45.0,6.267084472298154
1782341241.328,60.0,6.400426695113008
1782341256.328,75.0,6.400426695113008
1782341271.328,90.0,5.867057803853591
1782341286.328,105.0,6.332911139257383
1782341301.328,120.0,6.6008801173489795
1782341316.328,135.0,6.733333333333333
1782341331.328,150.0,6.333755583705581
1782341346.328,165.0,7.333333333333333
1782341361.328,180.0,6.1337422494833
1782341376.328,195.0,6.533768917927862
1782341391.328,210.0,7.06713780918728
1782341406.328,225.0,6.800453363557571
1782341421.328,240.0,7.06713780918728
1782341436.328,255.0,6.532897806812879
1782341451.328,270.0,12.668355780770769
1782341466.328,285.0,28.599999999999998
1782341481.328,300.0,31.335422361490767
1782341496.328,315.0,31.133333333333333
1782341511.328,330.0,31.737565008667822
1782341526.328,345.0,31.4
1782341541.328,360.0,32.06880458697247
1782341556.328,375.0,26.933333333333334
1782341571.328,390.0,27.3369782637685
1782341586.328,405.0,29.4
1782341601.328,420.0,30.40202680178679
1782341616.328,435.0,26.53333333333333
1782341631.328,450.0,21.869582611014803
1782341646.328,465.0,16.465568962069195
1782341661.328,480.0,15.002000266702227
1782341676.328,495.0,12.8
1782341691.328,510.0,7.9343912521669555
1782341706.328,525.0,7.266182254516365
1782341721.328,540.0,7.06713780918728
1782341736.328,555.0,6.866666666666666
1782341751.328,570.0,7.000933457794372
1782341766.328,585.0,6.866666666666666
1782341781.328,600.0,7.53383558903927
1782341796.328,615.0,7.0
1782341811.328,630.0,6.934257901053473
1782341826.328,645.0,7.533333333333333
1782341841.328,660.0,5.400360024001601
